site_id,site_name,cpt_name,borehole_id,latitude,longitude,qc10_mpa,qc50_mpa,ic_median,theta_z_m,n_profile_points,data_source
Canterbury_01008,CPT-BYR-05TT.xls,CPT-BYR-05TT,CPT-BYR-05,-43.50982316,172.60593056,0.2286,0.3822,1.093023789921572,0.2400000000000002,211,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01009,CPT-BYR-06TT.xls,CPT-BYR-06TT,CPT-BYR-06,-43.51137579,172.60268184,19.75722,31.8108,1.2974572651122118,0.40000000000000036,274,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01010,CPT-BYR-07TT.xls,CPT-BYR-07TT,CPT-BYR-07,-43.51148425,172.60766456,5.5406,5.5406,0.7579774377243966,0.20000000000000018,176,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01011,CPT-BYR-09TT.xls,CPT-BYR-09TT,CPT-BYR-09,-43.51413218,172.60463255,15.720920000000001,21.009400000000003,1.2347689192504196,0.17000000000000015,334,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01012,CPT-BYR-10TT.xls,CPT-BYR-10TT,CPT-BYR-10,-43.51366081,172.60702241,0.6038,1.2617,1.3424889248823848,0.6000000000000005,370,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01013,CPT-BYR-11TT.xls,CPT-BYR-11TT,CPT-BYR-11,-43.51250502,172.60829392,10.95526,13.540799999999999,1.2265921348350477,0.30000000000000027,388,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01014,CPT-BYR-12TT.xls,CPT-BYR-12TT,CPT-BYR-12,-43.5062906,172.59569467,11.70448,13.55,1.1780976700531935,0.10000000000000009,303,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01015,CPT-BYR-13TT.xls,CPT-BYR-13TT,CPT-BYR-13,-43.50591152,172.59894238,6.87,6.87,1.0993103663889665,0.06000000000000005,161,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01016,CPT-CBD-01TT.xls,CPT-CBD-01TT,CPT-CBD-01,-43.52185471,172.62632122,0.6137999999999999,2.9484,1.2447381087660991,0.5999999999999872,1647,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01017,CPT-CBD-02FTT.xls,CPT-CBD-02FTT,CPT-CBD-02,-43.52555414,172.64216461,0.5486,1.338,1.2760686684093692,0.6000000000000005,303,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01018,CPT-CBD-02TT.xls,CPT-CBD-02TT,CPT-CBD-02,-43.52087917,172.63023949,0.66144,3.7594000000000003,1.220273653773597,0.5999999999999872,905,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01019,CPT-CBD-03FTT.xls,CPT-CBD-03FTT,CPT-CBD-03,-43.52447958,172.64394843,8.3696,8.3696,0.7836967777053074,0.17000000000000015,236,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01020,CPT-CBD-03TT.xls,CPT-CBD-03TT,CPT-CBD-03,-43.52140157,172.63367292,0.6266,1.6048,1.5290061213678825,0.34999999999999254,900,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01021,CPT-CBD-04FTT.xls,CPT-CBD-04FTT,CPT-CBD-04,-43.52562746,172.64462355,0.455,5.2488,1.2743425513657198,0.5999999999999872,918,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01022,CPT-CBD-04TT.xls,CPT-CBD-04TT,CPT-CBD-04,-43.52102561,172.63617222,0.44788,1.3574,1.5461965156110498,0.4499999999999904,844,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01023,CPT-CBD-05TT.xls,CPT-CBD-05TT,CPT-CBD-05,-43.52123371,172.63972174,0.4686,1.381,1.3178184720718764,0.5999999999999872,1550,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
