scenario,gradation,year,layer,z_mid_m,gw_depth_m,fc_pct,pga_g,n160,n1_60cs,csr,pf_nonstationary,fs_deterministic_nonstationary,crr_benchmark_module,crr_bi14_spt_style,fs_bi14_spt_style,delta_fs_bi14_minus_benchmark,pf_bi14_spt_style_diagnostic,delta_pf_bi14_minus_benchmark,method_status
stationary,fines_washout,34,L4,12.5,3.2,25.28,0.28,24.0,31.128128732383605,0.25531164001555773,0.04666666666666667,1.9234196628931783,0.49107142857142855,0.504779653316286,1.9771117888926908,0.05369212599951245,0.006984760007791191,-0.03968190665887548,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,36,L4,12.5,3.2,25.12,0.28,24.0,31.082840816493245,0.25531164001555773,0.04633333333333333,1.9234196628931783,0.49107142857142855,0.5015158333987763,1.9643281182488028,0.040908455355624485,0.007453015342672009,-0.03888031799066132,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,38,L4,12.5,3.2,24.96,0.28,24.0,31.03739286329037,0.25531164001555773,0.044,1.9234196628931783,0.49107142857142855,0.4982758639375398,1.9516378646393746,0.02821820174619627,0.00794827799006631,-0.03605172200993369,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,40,L4,12.5,3.2,24.8,0.28,24.0,30.991780474600038,0.25531164001555773,0.04958333333333333,1.9234196628931783,0.49107142857142855,0.4950593334030234,1.9390394161929176,0.015619753299739303,0.00847183123678491,-0.04111150209654842,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,42,L4,12.5,3.2,24.64,0.28,24.0,30.94599916364845,0.25531164001555773,0.048916666666666664,1.9234196628931783,0.49107142857142855,0.49186583619580526,1.9265311842649744,0.0031115213717960444,0.009025004391848446,-0.03989166227481822,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,44,L4,12.5,3.2,24.48,0.28,24.0,30.900044353835774,0.25531164001555773,0.0455,1.9234196628931783,0.49107142857142855,0.4886949726070079,1.9141116032830647,-0.009308059610113606,0.00960917370713299,-0.03589082629286701,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,46,L4,12.5,3.2,24.32,0.28,24.0,30.853911377547366,0.25531164001555773,0.04675,1.9234196628931783,0.49107142857142855,0.4855463487840287,1.9017791306124598,-0.021640532280718494,0.010225763277094346,-0.036524236722905654,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,48,L4,12.5,3.2,24.16,0.28,24.0,30.80759547500948,0.25531164001555773,0.050166666666666665,1.9234196628931783,0.49107142857142855,0.4824195767017016,1.8895322464432283,-0.03388741644995008,0.010876245913888638,-0.03929042075277803,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,50,L4,12.5,3.2,24.0,0.28,24.0,30.76109179319628,0.25531164001555773,0.051416666666666666,1.9234196628931783,0.49107142857142855,0.47931427413903666,1.8773694536991303,-0.04605020919404801,0.011562143993880447,-0.03985452267278622,direct_spt_model_form_check_not_site_validation
rising,constant,0,L1,2.0,3.2,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7464166666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2194998669253555,direct_spt_model_form_check_not_site_validation
rising,constant,2,L1,2.0,3.1300000000000003,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7414166666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2244998669253555,direct_spt_model_form_check_not_site_validation
rising,constant,4,L1,2.0,3.06,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7488333333333334,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.21708320025868877,direct_spt_model_form_check_not_site_validation
rising,constant,6,L1,2.0,2.99,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7451666666666666,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.22074986692535548,direct_spt_model_form_check_not_site_validation
rising,constant,8,L1,2.0,2.92,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.74175,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2241665335920221,direct_spt_model_form_check_not_site_validation
rising,constant,10,L1,2.0,2.85,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7470833333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2188332002586888,direct_spt_model_form_check_not_site_validation
rising,constant,12,L1,2.0,2.7800000000000002,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.74775,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2181665335920221,direct_spt_model_form_check_not_site_validation
rising,constant,14,L1,2.0,2.71,8.0,0.28,10.0,10.42484444292229,0.17921540000000002,0.7350833333333333,0.7603740083287055,0.1362707320522323,0.10807279200743383,0.6030329536827406,-0.15734105464596493,0.9659165335920221,0.2308332002586888,direct_spt_model_form_check_not_site_validation
