scenario,gradation,year,stationary,nonstationary,max_layer_pf,frechet_lower,frechet_upper,psys_independent_layers,delta
seasonal,fines_accumulation,36,0.37370833333333336,0.35989583333333336,0.6585,0.6585,1.0,0.8756755112200394,-0.013812500000000005
seasonal,fines_accumulation,38,0.37370833333333336,0.36754166666666666,0.6526666666666666,0.6526666666666666,1.0,0.8812604751573743,-0.006166666666666709
seasonal,fines_accumulation,40,0.37370833333333336,0.33927083333333335,0.6450833333333333,0.6450833333333333,1.0,0.8546969871467303,-0.03443750000000001
seasonal,fines_accumulation,42,0.37370833333333336,0.3076875,0.6406666666666667,0.6406666666666667,1.0,0.8232220256450618,-0.06602083333333336
seasonal,fines_accumulation,44,0.37370833333333336,0.3156875,0.6303333333333333,0.6303333333333333,1.0,0.8289589914733417,-0.058020833333333355
seasonal,fines_accumulation,46,0.37370833333333336,0.3486458333333333,0.6274166666666666,0.6274166666666666,1.0,0.8613412079587891,-0.025062500000000043
seasonal,fines_accumulation,48,0.37370833333333336,0.3617708333333333,0.6364166666666666,0.6364166666666666,1.0,0.8741769149027404,-0.011937500000000045
seasonal,fines_accumulation,50,0.37370833333333336,0.3284375,0.6206666666666667,0.6206666666666667,1.0,0.8404302739573211,-0.04527083333333337
seasonal,fines_washout,0,0.3713125,0.3728958333333333,0.7399166666666667,0.7399166666666667,1.0,0.9012754337761357,0.0015833333333333255
seasonal,fines_washout,2,0.3713125,0.35258333333333336,0.7465,0.7465,1.0,0.8888895546057292,-0.01872916666666663
