site_id,event_key,pga_g,wtd_event_site_adjusted_m,manifestation_code,observed_liquefaction,severe_manifestation,critical_layer_depth_m,critical_layer_qc_mpa,critical_layer_saturated,critical_crossing_margin_m
Canterbury_02272,Yr2011,0.373,1.25545942783355,1,1,0,4.77,0.6178999999999999,1,3.5145405721664496
Canterbury_02272,Yr2016,0.105486207,0.9725113430738382,0,0,0,4.77,0.6178999999999999,1,3.7974886569261614
Canterbury_02273,Yr2010,0.202,2.02612090110778,1,1,0,1.07,2.1940600000000003,0,-0.95612090110778
Canterbury_02273,Yr2011,0.371,2.02637004852294,4,1,1,1.07,2.1940600000000003,0,-0.9563700485229398
Canterbury_02273,Yr2016,0.104691707,1.7013302438735876,0,0,0,1.07,2.1940600000000003,0,-0.6313302438735875
Canterbury_02274,Yr2010,0.202,2.06536245346069,1,1,0,0.66,1.4322000000000001,0,-1.4053624534606897
Canterbury_02274,Yr2011,0.37,2.03888416290283,4,1,1,0.66,1.4322000000000001,0,-1.3788841629028297
Canterbury_02274,Yr2016,0.104412057,1.7131610876083354,0,0,0,0.66,1.4322000000000001,0,-1.0531610876083355
Canterbury_02275,Yr2010,0.198,2.24059200286865,3,1,1,4.85,0.82318,1,2.6094079971313495
Canterbury_02275,Yr2011,0.384,2.18020415306091,4,1,1,4.85,0.82318,1,2.6697958469390897
Canterbury_02275,Yr2016,0.105540201,1.8467650063037846,0,0,0,4.85,0.82318,1,3.003234993696215
Canterbury_02276,Yr2010,0.199,2.08757805824279,0,0,0,5.45,0.91466,1,3.3624219417572103
Canterbury_02276,Yr2011,0.38,2.05851197242736,0,0,0,5.45,0.91466,1,3.39148802757264
Canterbury_02276,Yr2016,0.105383694,1.7317172187328265,0,0,0,5.45,0.91466,1,3.718282781267174
Canterbury_02277,Yr2010,0.202,2.09591388702392,0,0,0,0.775,3.15294,0,-1.32091388702392
Canterbury_02277,Yr2011,0.376,2.08878684043884,0,0,0,0.775,3.15294,0,-1.3137868404388402
Canterbury_02277,Yr2016,0.108153909,1.7603390789508795,0,0,0,0.775,3.15294,0,-0.9853390789508795
Canterbury_02278,Yr2010,0.203,1.67289841175079,1,1,0,5.01,0.8015700000000001,1,3.33710158824921
Canterbury_02278,Yr2011,0.367,1.61167871952056,4,1,1,5.01,0.8015700000000001,1,3.39832128047944
Canterbury_02278,Yr2016,0.104514129,1.3092810614347374,0,0,0,5.01,0.8015700000000001,1,3.700718938565262
Canterbury_02279,Yr2010,0.203,1.84762823581695,1,1,0,0.5700000000000001,3.2316899999999995,0,-1.27762823581695
Canterbury_02279,Yr2011,0.368,1.8050353527069,4,1,1,0.5700000000000001,3.2316899999999995,0,-1.2350353527069
Canterbury_02279,Yr2016,0.104372866,1.4920804224491035,0,0,0,0.5700000000000001,3.2316899999999995,0,-0.9220804224491035
Canterbury_02280,Yr2010,0.197,1.84380614757537,2,1,0,1.47,0.71004,0,-0.37380614757537
Canterbury_02280,Yr2011,0.393,1.83622443675994,1,1,0,1.47,0.71004,0,-0.3662244367599401
Canterbury_02280,Yr2016,0.108694091,1.5215665825128475,0,0,0,1.47,0.71004,0,-0.051566582512847514
Canterbury_02281,Yr2010,0.201,2.58155250549316,0,0,0,1.35,1.2662999999999998,0,-1.23155250549316
